Algeria,Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Cote d'Ivoire,Djibouti,DR Congo,Equatorial Guinea,Ethiopia,Gabon,Ghana,Guinea,Kenya,Mali,Mauritania,Morocco,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Sudan,Sudan,Tanzania,Tunisia,Uganda,Zambia,Zimbabwe
981,38,0,0,5,212,1,61,2,4,13,1,34,54,13,129,0,63,11,83,289,249,4,271,14,36,14,12,2,12,492,414,0,14,172,55
197,2,0,3,3,21,9,15,1,0,14,28,18,20,1,18,0,32,0,2,2101,5,12,152,0,6,2,0,1,2,0,0,333,22,6,0
